;RestaurantName;AverageCostForTwo;AggregateRating;RatingText;Votes;Date;Coordinates;City/Country/Continent
1570;Cafe Coffee Day;450;3.3;Average;34.0;2016-07-25T21:56:14Z;[28.4166832, 77.04128940000001];Gurgaon/India/Asia
1571;FOA - The Flavours of Arabia;1500;3.4;Average;165.0;2018-02-12T06:26:47Z;[28.4167026, 77.0413756];Gurgaon/India/Asia
1572;A1;200;3.0;Average;4.0;2016-06-24T03:29:25Z;[28.4669375, 77.0204947];Gurgaon/India/Asia
1573;Apni Rasoi;400;2.9;Average;4.0;2017-03-14T17:39:05Z;[28.4841816, 77.01295340000001];Gurgaon/India/Asia
1574;DBDN Deena Meat Vala;500;3.2;Average;5.0;2018-09-29T05:00:59Z;[28.4569872, 77.026849];Gurgaon/India/Asia
1575;Deep Chicken Corner;500;3.2;Average;18.0;2016-12-07T20:12:53Z;[28.4667157, 77.02065959999999];Gurgaon/India/Asia
1576;Dilli Rasoi;700;3.2;Average;31.0;2018-04-03T02:39:23Z;[28.4667607, 77.0203953];Gurgaon/India/Asia
1577;French Omelette;100;3.2;Average;7.0;2017-02-28T09:02:30Z;[28.4668549, 77.02041740000001];Gurgaon/India/Asia
1578;Green Chick Chop;350;2.9;Average;5.0;2018-11-09T14:03:57Z;[28.4709408, 77.0189174];Gurgaon/India/Asia
1579;Hangout Cafe;200;3.4;Average;27.0;2017-07-02T03:09:15Z;[28.4653555, 77.0196893];Gurgaon/India/Asia
1580;Hari Om Rasoi;400;3.2;Average;28.0;2016-01-14T22:10:47Z;[28.460393300000003, 77.0178663];Gurgaon/India/Asia
1581;Harish Phulwari;600;3.1;Average;4.0;2017-04-30T20:48:23Z;[28.4580309, 77.0274904];Gurgaon/India/Asia
1582;Hotel Rajvanshi Restaurant;600;3.3;Average;25.0;2017-10-01T19:44:58Z;[28.4645876, 77.02220200000001];Gurgaon/India/Asia
1583;Jagdish Vaishno Dhaba;150;3.1;Average;12.0;2018-03-02T13:44:24Z;[28.473084000000004, 77.0181934];Gurgaon/India/Asia
1584;JVR Jayka;200;2.9;Average;5.0;2018-12-21T21:45:03Z;[28.473018300000003, 77.01823309999999];Gurgaon/India/Asia
1585;Kaza;1000;3.1;Average;25.0;2016-12-20T18:21:22Z;[28.4823394, 77.0136942];Gurgaon/India/Asia
1586;Knight Delight Kafe;500;2.6;Average;12.0;2017-10-06T18:55:39Z;[28.4810609, 77.0141435];Gurgaon/India/Asia
1587;Ko Jitters;450;3.0;Average;6.0;2017-08-14T02:31:22Z;[28.4678506, 77.01668640000001];Gurgaon/India/Asia
1588;Laajawab Chaap Express;250;3.1;Average;17.0;2018-01-20T23:35:22Z;[28.467406800000003, 77.01751750000001];Gurgaon/India/Asia
1589;Laddu Gopal;400;3.0;Average;13.0;2016-04-29T08:50:39Z;[28.4713437, 77.01930159999999];Gurgaon/India/Asia
1590;Mini's Royal Cafe;500;3.3;Average;21.0;2018-10-24T01:04:12Z;[28.4670202, 77.0136441];Gurgaon/India/Asia
1591;Pakwan;400;3.4;Average;60.0;2016-05-14T05:11:16Z;[28.4712555, 77.0189082];Gurgaon/India/Asia
1592;Patiala;600;3.4;Average;33.0;2017-02-19T15:22:50Z;[28.4667702, 77.02044690000001];Gurgaon/India/Asia
1593;Pind Balluchi;800;2.7;Average;11.0;2017-08-19T13:57:21Z;[28.463999600000005, 77.02213590000001];Gurgaon/India/Asia
1594;Pizza Man;400;2.9;Average;8.0;2017-05-06T03:53:30Z;[28.4721483, 77.0186408];Gurgaon/India/Asia
1595;Punjabi Dhani;700;3.2;Average;25.0;2017-11-19T06:20:33Z;[28.470213, 77.01936359999999];Gurgaon/India/Asia
1596;Raju Halwai;450;3.1;Average;7.0;2016-03-18T05:02:05Z;[28.4603566, 77.0179074];Gurgaon/India/Asia
1597;Rupa Tikki Wala And Caterers;150;2.8;Average;4.0;2017-08-29T06:16:52Z;[28.4626082, 77.023212];Gurgaon/India/Asia
1598;Samrat The Cake Shoppe;150;3.0;Average;11.0;2016-02-22T16:18:52Z;[28.459755600000005, 77.0259078];Gurgaon/India/Asia
1599;Samrat;400;2.9;Average;10.0;2016-05-05T23:15:49Z;[28.4598188, 77.02598990000001];Gurgaon/India/Asia
1600;Sanjha Chula;700;3.0;Average;6.0;2018-06-05T20:53:30Z;[28.4570545, 77.0200512];Gurgaon/India/Asia
1601;Silver Crown;500;2.5;Average;12.0;2017-02-13T14:32:56Z;[28.4669487, 77.0191832];Gurgaon/India/Asia
1602;Super Bakery;250;3.3;Average;26.0;2016-12-14T19:47:44Z;[28.4609586, 77.0247842];Gurgaon/India/Asia
1603;The Chic;200;3.0;Average;15.0;2017-01-26T17:08:04Z;[28.470938, 77.0187625];Gurgaon/India/Asia
1604;Unique Bus Wales;200;2.8;Average;16.0;2016-05-31T02:09:51Z;[28.467287, 77.0175382];Gurgaon/India/Asia
1605;Dilli 6 Express;550;3.5;Good;31.0;2017-02-01T11:25:43Z;[28.4667732, 77.0203817];Gurgaon/India/Asia
1606;Mangle Di Kulfi;100;3.6;Good;18.0;2018-08-12T19:42:53Z;[28.4655014, 77.0168909];Gurgaon/India/Asia
1607;The Oven Artist;800;3.5;Good;25.0;2016-07-09T20:24:35Z;[28.4652054, 77.01571750000001];Gurgaon/India/Asia
1608;Bal Ji Rasoi;300;0.0;Not rated;3.0;2016-03-15T02:46:51Z;[28.460487, 77.0179026];Gurgaon/India/Asia
1609;Dakshin Bistro;600;0.0;Not rated;3.0;2017-07-27T13:46:56Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1610;Metro Dhaba;150;0.0;Not rated;1.0;2016-02-08T08:15:53Z;[28.4579956, 77.0277668];Gurgaon/India/Asia
1611;Sukhman Food City;200;0.0;Not rated;1.0;2016-04-16T13:04:39Z;[28.4688983, 77.0212272];Gurgaon/India/Asia
1612;The Burger Hub;300;0.0;Not rated;3.0;2018-03-03T09:34:17Z;[28.4681772, 77.01617519999999];Gurgaon/India/Asia
1613;Pizza Hut Delivery;800;2.2;Poor;93.0;2017-06-14T16:16:17Z;[28.4109555, 77.04326850000001];Gurgaon/India/Asia
1614;Hot Cherries;400;3.6;Good;84.0;2017-01-13T23:38:58Z;[28.4106951, 77.0433584];Gurgaon/India/Asia
1615;Domino's Pizza;700;2.4;Poor;112.0;2018-06-18T04:18:12Z;[28.4113952, 77.0431785];Gurgaon/India/Asia
1616;Coldpress Company;500;4.1;Very Good;74.0;2016-03-28T15:24:52Z;[28.4105331, 77.0435383];Gurgaon/India/Asia
1617;Hahn's Kitchen;1800;3.2;Average;12.0;2016-10-18T08:40:01Z;[28.45112282, 77.09791951];Gurgaon/India/Asia
1618;Shree Rathnam;800;3.4;Average;36.0;2016-07-30T03:20:11Z;[28.451130100000004, 77.09741009999999];Gurgaon/India/Asia
1619;Caffe Tonino;1400;3.8;Good;101.0;2016-06-15T15:54:15Z;[28.451130100000004, 77.09741009999999];Gurgaon/India/Asia
1620;Carl's Jr.;650;3.5;Good;45.0;2018-07-14T19:30:29Z;[28.4508352, 77.09714029999999];Gurgaon/India/Asia
1621;Delhi Club House;1700;3.9;Good;81.0;2017-08-03T10:56:23Z;[28.4514834, 77.0968183];Gurgaon/India/Asia
1622;GoGourmet;600;3.7;Good;33.0;2017-12-17T21:08:45Z;[28.4511473, 77.0975899];Gurgaon/India/Asia
1623;Shophouse by Kylin;1500;3.5;Good;37.0;2018-05-29T03:32:20Z;[28.4506618, 77.0972691];Gurgaon/India/Asia
1624;Starbucks;700;3.5;Good;16.0;2018-06-17T04:49:04Z;[28.45109776, 77.09822863];Gurgaon/India/Asia
1625;Baskin Robbins;300;3.1;Average;14.0;2017-01-15T23:46:31Z;[28.5125527, 77.03789990000001];Gurgaon/India/Asia
1626;Bikaner Sweets & Restaurant;350;3.1;Average;9.0;2016-03-04T22:55:42Z;[28.5145359, 77.0352809];Gurgaon/India/Asia
1627;Burger Bites & More;450;2.9;Average;19.0;2017-08-17T00:15:35Z;[28.4939088, 77.02038370000001];Gurgaon/India/Asia
1628;Cafí© Gramophone;700;3.2;Average;15.0;2018-03-29T00:36:02Z;[28.496845, 77.02104720000001];Gurgaon/India/Asia
1629;Chawla Bakers;200;3.2;Average;18.0;2018-02-27T04:03:00Z;[28.502947, 77.030404];Gurgaon/India/Asia
1630;Crust N Cakes;550;3.2;Average;6.0;2018-10-08T01:09:35Z;[28.5037904, 77.03623759999999];Gurgaon/India/Asia
1631;Darjeeling Kanchanjanga Momos;200;2.9;Average;4.0;2016-08-10T18:48:32Z;[28.511849800000004, 77.0409296];Gurgaon/India/Asia
1632;Desserts 83;200;3.2;Average;10.0;2017-01-10T18:08:48Z;[28.5216917, 77.0436219];Gurgaon/India/Asia
1633;Express Kitchen;600;2.9;Average;4.0;2018-02-20T11:22:46Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1634;Giani's;400;3.1;Average;24.0;2017-11-10T08:09:39Z;[28.5150103, 77.0347314];Gurgaon/India/Asia
1635;Hangover;800;2.7;Average;11.0;2016-04-02T17:54:55Z;[28.4865257, 77.0199219];Gurgaon/India/Asia
1636;Sangam Sweets;250;2.5;Average;9.0;2016-06-30T16:43:54Z;[28.517680100000003, 77.0373642];Gurgaon/India/Asia
1637;Shree Bikaner Misthan Bhandar;300;3.0;Average;4.0;2017-09-23T00:12:16Z;[28.5029296, 77.0302241];Gurgaon/India/Asia
1638;Shree Shyam Rasoi;350;3.1;Average;12.0;2018-09-19T04:13:10Z;[28.5034359, 77.0336712];Gurgaon/India/Asia
1639;Swad On Grill;400;3.1;Average;17.0;2018-02-02T17:09:42Z;[28.5125468, 77.037902];Gurgaon/India/Asia
1640;The Pepper's;250;3.0;Average;5.0;2016-10-24T17:43:19Z;[28.511956400000003, 77.0394717];Gurgaon/India/Asia
1641;Anisha Restaurant;400;0.0;Not rated;1.0;2017-02-13T15:54:56Z;[28.5033789, 77.0319416];Gurgaon/India/Asia
1642;Annapoorna Foods;600;0.0;Not rated;1.0;2016-03-01T10:40:43Z;[28.5089193, 77.03086379999999];Gurgaon/India/Asia
1643;Bakelicious 18;450;0.0;Not rated;2.0;2017-11-25T18:13:54Z;[28.5145201, 77.0351721];Gurgaon/India/Asia
1644;Bansiwala Bakery;200;0.0;Not rated;0.0;2018-04-10T18:11:34Z;[28.4857718, 77.01960759999999];Gurgaon/India/Asia
1645;Bansiwala Rasoi;300;0.0;Not rated;0.0;2016-01-27T06:46:50Z;[28.4859312, 77.0198157];Gurgaon/India/Asia
1646;Bansiwala Sweets;100;0.0;Not rated;1.0;2016-10-10T04:15:48Z;[28.4859483, 77.0197677];Gurgaon/India/Asia
1647;Best Pizza Hut;350;0.0;Not rated;0.0;2016-05-26T16:07:29Z;[28.4921812, 77.0093235];Gurgaon/India/Asia
1648;Bikaner Sweets & Restaurant;200;0.0;Not rated;0.0;2018-11-29T02:28:57Z;[28.5144976, 77.024736];Gurgaon/India/Asia
1649;Chaska Food Corner;700;0.0;Not rated;1.0;2017-12-22T05:11:39Z;[28.497571, 77.0225318];Gurgaon/India/Asia
1650;Chulha;500;0.0;Not rated;0.0;2016-12-21T12:36:04Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1651;Dev Restaurant;600;0.0;Not rated;0.0;2018-06-15T23:20:27Z;[28.49841367, 77.02189766];Gurgaon/India/Asia
1652;Dietpoint;600;0.0;Not rated;0.0;2017-09-24T14:16:21Z;[28.5142695, 77.025184];Gurgaon/India/Asia
1653;Gautam Bakery;150;0.0;Not rated;0.0;2017-12-19T02:50:49Z;[28.4959225, 77.02152];Gurgaon/India/Asia
1654;Honey Hot & Spicy;250;0.0;Not rated;1.0;2018-06-09T03:49:49Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1655;Hot & Spicy;450;0.0;Not rated;0.0;2016-06-18T13:21:28Z;[28.5118122, 77.0252309];Gurgaon/India/Asia
1656;Hot Fork;400;0.0;Not rated;2.0;2018-04-23T19:36:30Z;[28.5091367, 77.03139370000001];Gurgaon/India/Asia
1657;Icon Foods;600;0.0;Not rated;0.0;2017-03-21T18:25:40Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1658;Indochi Cafe & Restaurant;400;0.0;Not rated;1.0;2018-10-08T07:47:34Z;[28.512055, 77.0411995];Gurgaon/India/Asia
1659;Love to Wish;200;0.0;Not rated;2.0;2017-05-19T10:49:52Z;[28.5125685, 77.0378566];Gurgaon/India/Asia
1660;M CríÂme;700;0.0;Not rated;0.0;2018-05-06T09:00:00Z;[28.52068371, 77.04251687];Gurgaon/India/Asia
1661;Mamta Tiffin Service;150;0.0;Not rated;0.0;2017-09-21T18:55:38Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1662;Panther Restaurant;600;0.0;Not rated;0.0;2016-03-21T11:33:43Z;[28.501969300000003, 77.0283498];Gurgaon/India/Asia
1663;Pizza King;600;0.0;Not rated;1.0;2017-02-22T06:31:08Z;[28.4936502, 77.01025];Gurgaon/India/Asia
1664;Radha Swami Shudh Vaishno Dhaba;300;0.0;Not rated;2.0;2018-04-29T12:20:38Z;[28.487723100000004, 77.0196062];Gurgaon/India/Asia
1665;RD's Authentic Aroma;450;0.0;Not rated;2.0;2017-04-16T00:03:50Z;[28.4946737, 77.0203724];Gurgaon/India/Asia
1666;Savour;250;0.0;Not rated;1.0;2017-01-13T19:29:01Z;[28.51231235, 77.0386974];Gurgaon/India/Asia
1667;Sheetla Dhaba;400;0.0;Not rated;0.0;2016-06-03T15:43:55Z;[28.503361100000003, 77.0358272];Gurgaon/India/Asia
1668;Shree Bikaner Mishthan Bhandar;500;0.0;Not rated;2.0;2018-08-07T18:46:26Z;[28.4860462, 77.01948420000001];Gurgaon/India/Asia
1669;Shree Shyam Bhojnalaya;350;0.0;Not rated;3.0;2016-05-16T00:09:22Z;[28.4875817, 77.01978759999999];Gurgaon/India/Asia
1670;Shristi Happy Eats;150;0.0;Not rated;0.0;2017-04-08T21:34:49Z;[28.5120868, 77.0410645];Gurgaon/India/Asia
1671;Singh Terrace Grill;500;0.0;Not rated;0.0;2018-07-10T03:35:51Z;[28.50913665, 77.03139368];Gurgaon/India/Asia
1672;Swami Vaishno Dhaba;300;0.0;Not rated;0.0;2016-02-28T07:35:34Z;[28.4890966, 77.01969759999999];Gurgaon/India/Asia
1673;Wah Ji Wah;400;0.0;Not rated;1.0;2016-09-07T22:18:42Z;[28.4968821, 77.0219634];Gurgaon/India/Asia
1674;Cafe 55 - Park Inn;1500;3.2;Average;13.0;2017-10-06T16:28:57Z;[28.4590795, 77.03182640000001];Gurgaon/India/Asia
1675;New Town Lounge & Bar - Park Plaza;3000;3.4;Average;20.0;2016-01-02T01:15:42Z;[28.459261100000003, 77.0756484];Gurgaon/India/Asia
1676;New Town Pastry Shop - Park Plaza;1200;3.2;Average;26.0;2018-02-10T14:31:17Z;[28.4592519, 77.07576970000001];Gurgaon/India/Asia
1677;New Town Cafe - Park Plaza;2200;3.7;Good;176.0;2016-07-28T04:51:42Z;[28.4592449, 77.07570940000001];Gurgaon/India/Asia
1678;The Great Kabab Factory - Park Plaza;3000;3.7;Good;340.0;2017-08-24T14:29:17Z;[28.4592314, 77.075722];Gurgaon/India/Asia
1679;K2 Restaurant;2000;3.0;Average;21.0;2018-10-25T08:35:27Z;[28.4777065, 77.0730853];Gurgaon/India/Asia
1680;Angels in my Kitchen;350;3.1;Average;84.0;2016-09-03T16:11:59Z;[28.4722814, 77.1019957];Gurgaon/India/Asia
1681;Barista;650;3.3;Average;41.0;2017-12-21T11:04:10Z;[28.471514600000003, 77.1022778];Gurgaon/India/Asia
1682;Cafe Coffee Day;450;2.8;Average;18.0;2017-06-20T12:10:28Z;[28.4718072, 77.1017259];Gurgaon/India/Asia
1683;Cafe Naklee;400;3.2;Average;10.0;2018-09-18T18:28:09Z;[28.472029700000004, 77.1021755];Gurgaon/India/Asia
1684;Chacha's Take Away;700;2.8;Average;16.0;2016-10-06T06:49:50Z;[28.471882300000004, 77.1020406];Gurgaon/India/Asia
1685;Colonel's Kababz;900;3.0;Average;61.0;2018-11-14T04:48:04Z;[28.4725209, 77.10188649999999];Gurgaon/India/Asia
1686;Domino's Pizza;700;2.8;Average;70.0;2016-04-13T15:39:43Z;[28.4719659, 77.1024452];Gurgaon/India/Asia
1687;Green Chick Chop;350;2.8;Average;16.0;2016-07-10T23:24:18Z;[28.472128, 77.10226540000001];Gurgaon/India/Asia
1688;Naushi's Kitchenette;500;3.4;Average;57.0;2016-02-12T23:27:38Z;[28.47211841, 77.10254565];Gurgaon/India/Asia
1689;Sapra Pastry Treat;250;3.0;Average;33.0;2018-02-15T23:27:32Z;[28.472038300000005, 77.10226540000001];Gurgaon/India/Asia
1690;Subway;500;3.2;Average;92.0;2018-07-03T01:24:25Z;[28.4715582, 77.1024003];Gurgaon/India/Asia
1691;Sunny Sweets;200;3.3;Average;22.0;2018-08-05T15:28:27Z;[28.4715383, 77.1017259];Gurgaon/India/Asia
1692;The Healthy Rasoi;500;3.7;Good;25.0;2016-08-27T11:09:10Z;[28.471367600000004, 77.1018159];Gurgaon/India/Asia
1693;Burger King;500;3.0;Average;71.0;2017-09-26T06:29:58Z;[28.4237354, 77.0392029];Gurgaon/India/Asia
1694;Hong Kong Express;700;3.2;Average;100.0;2016-10-04T00:06:39Z;[28.4234228, 77.0395802];Gurgaon/India/Asia
1695;Viva Hyderabad;600;2.3;Poor;32.0;2016-09-01T17:20:13Z;[28.4234142, 77.0394902];Gurgaon/India/Asia
1696;Cafe Rouge - Ramada;1500;3.5;Good;194.0;2018-12-23T06:25:52Z;[28.4497396, 77.07065240000001];Gurgaon/India/Asia
1697;Shamji Sweets;200;3.2;Average;15.0;2017-02-18T16:18:00Z;[28.4596657, 77.02683940000001];Gurgaon/India/Asia
1698;Sialkoti Vaishno Dhaba;250;3.1;Average;16.0;2017-02-08T22:38:38Z;[28.4623451, 77.0313172];Gurgaon/India/Asia
1699;Haldiram's;600;3.6;Good;315.0;2017-08-25T05:32:24Z;[28.4797958, 77.0868894];Gurgaon/India/Asia
1700;Club Prison;1800;2.4;Poor;53.0;2017-08-04T05:03:27Z;[28.4797207, 77.0865747];Gurgaon/India/Asia
1701;Maa Bhagwati Tiffins;200;3.0;Average;4.0;2017-02-16T06:20:16Z;[28.4636195, 77.03247320000001];Gurgaon/India/Asia
1702;Spices & Sauces;1500;3.0;Average;8.0;2018-11-27T07:15:22Z;[28.463749600000003, 77.0324282];Gurgaon/India/Asia
1703;Indian Food Cafe;500;0.0;Not rated;1.0;2016-09-01T09:16:58Z;[28.4675057, 77.03385959999999];Gurgaon/India/Asia
1704;Assam Tea Corner;150;2.8;Average;6.0;2018-03-09T21:28:29Z;[28.475519899999995, 77.0404135];Gurgaon/India/Asia
1705;Bakingo;400;3.0;Average;4.0;2018-05-18T21:08:28Z;[28.4706936, 77.0441684];Gurgaon/India/Asia
1706;Balaji Sweets & Snacks;400;2.9;Average;6.0;2018-03-05T12:50:24Z;[28.476036, 77.0348123];Gurgaon/India/Asia
1707;Baxman Delivers;800;2.9;Average;4.0;2018-10-25T00:48:23Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1708;Burger Point;300;3.2;Average;20.0;2017-08-03T16:09:48Z;[28.473549100000003, 77.04833609999999];Gurgaon/India/Asia
1709;Burger Xpress;300;3.1;Average;20.0;2017-02-04T08:11:53Z;[28.4745207, 77.0476105];Gurgaon/India/Asia
1710;Cafe Coffee Day;450;2.8;Average;34.0;2018-10-28T10:55:04Z;[28.4775051, 77.046327];Gurgaon/India/Asia
1711;Cake Factory;300;3.3;Average;36.0;2016-04-12T07:54:35Z;[28.4703517, 77.0204025];Gurgaon/India/Asia
1712;Cake Maker;200;3.0;Average;5.0;2018-10-29T12:24:03Z;[28.4741041, 77.0424008];Gurgaon/India/Asia
1713;Captain's Table;200;3.1;Average;41.0;2016-04-23T05:28:30Z;[28.4740266, 77.0474607];Gurgaon/India/Asia
1714;Carpedium;200;3.1;Average;7.0;2017-10-15T04:37:02Z;[28.474015, 77.04751740000002];Gurgaon/India/Asia
1715;Chef Sack Kitchen;500;3.1;Average;7.0;2018-03-29T16:17:45Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1716;Chinar Junction;600;2.8;Average;8.0;2017-07-06T10:59:07Z;[28.48038451, 77.04808339];Gurgaon/India/Asia
1717;Frontier;200;2.9;Average;10.0;2016-04-04T06:20:45Z;[28.4739949, 77.0424589];Gurgaon/India/Asia
1718;Ganpati Rasoi;200;3.2;Average;11.0;2016-06-29T22:08:43Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1719;Indian & Chinese Corner;400;3.1;Average;21.0;2018-03-23T06:31:59Z;[28.4730599, 77.048056];Gurgaon/India/Asia
1720;Juice Lounge;350;3.4;Average;25.0;2018-04-12T15:14:33Z;[28.4694139, 77.0445066];Gurgaon/India/Asia
1721;KB's Kulfi & Icecream;200;3.3;Average;19.0;2018-03-29T17:00:44Z;[28.482200800000005, 77.0494753];Gurgaon/India/Asia
1722;KB's Kulfi & Icecream;200;3.3;Average;43.0;2016-03-01T01:42:29Z;[28.4754869, 77.04398809999999];Gurgaon/India/Asia
1723;Keventers;250;2.6;Average;18.0;2016-08-29T13:48:29Z;[28.4736495, 77.0481041];Gurgaon/India/Asia
1724;KFC;500;2.7;Average;17.0;2018-05-02T11:42:19Z;[28.4740886, 77.047405];Gurgaon/India/Asia
1725;Madras Cafe;300;3.3;Average;69.0;2016-04-20T09:08:36Z;[28.476629, 77.0456073];Gurgaon/India/Asia
1726;Madurai Meenakshi Bhawan;300;3.4;Average;25.0;2016-10-11T04:21:10Z;[28.474091100000003, 77.0473507];Gurgaon/India/Asia
1727;Masala Fusion;600;3.2;Average;52.0;2016-08-20T06:29:44Z;[28.4740845, 77.0424589];Gurgaon/India/Asia
1728;Moti Mahal Delux Tandoori Trail;800;2.9;Average;16.0;2018-08-25T14:11:10Z;[28.4665409, 77.0351491];Gurgaon/India/Asia
1729;Mr. & Mrs. Idly;400;3.0;Average;5.0;2017-07-13T17:35:44Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1730;Pind Bawarchi;600;3.1;Average;8.0;2018-06-26T21:40:01Z;[28.472892100000003, 77.04827440000001];Gurgaon/India/Asia
1731;Republic of Chicken;400;2.8;Average;9.0;2018-07-06T16:31:17Z;[28.4736075, 77.04844059999999];Gurgaon/India/Asia
1732;Ridhi Sidhi;500;3.0;Average;30.0;2016-10-10T12:08:51Z;[28.4703532, 77.020392];Gurgaon/India/Asia
1733;Romi Da Dhaba;450;3.2;Average;34.0;2016-01-27T22:48:56Z;[28.4750589, 77.04326850000001];Gurgaon/India/Asia
1734;Shamji Sweets;600;2.9;Average;26.0;2016-06-15T03:12:10Z;[28.470213300000005, 77.0394496];Gurgaon/India/Asia
1735;Six Pack Kitchen;600;3.2;Average;13.0;2017-07-03T01:23:11Z;[28.4699753, 77.0453042];Gurgaon/India/Asia
1736;Taste of Dilli 6;650;2.7;Average;9.0;2016-01-01T05:19:37Z;[28.4749637, 77.0474907];Gurgaon/India/Asia
1737;The Guls;650;3.0;Average;21.0;2016-11-21T08:30:51Z;[28.4768261, 77.0349543];Gurgaon/India/Asia
1738;The League Restaurant;900;3.1;Average;17.0;2016-09-08T22:08:23Z;[28.475148600000004, 77.04326850000001];Gurgaon/India/Asia
1739;The Plaza Solitaire;900;3.3;Average;32.0;2016-12-07T04:41:28Z;[28.4751457, 77.044168];Gurgaon/India/Asia
1740;Uttarakhand Fast Food;200;2.9;Average;6.0;2016-08-27T22:31:29Z;[28.4758641, 77.0363305];Gurgaon/India/Asia
1741;Viva Hyderabad;600;2.5;Average;70.0;2016-06-21T13:13:23Z;[28.4764122, 77.0445955];Gurgaon/India/Asia
1742;Wahid Food Corner;400;2.8;Average;6.0;2016-04-13T21:59:16Z;[28.475817100000004, 77.03477629999999];Gurgaon/India/Asia
1743;Zync - Rosewood Hotel;1000;3.0;Average;5.0;2018-11-13T00:22:58Z;[28.46715278, 77.037225];Gurgaon/India/Asia
1744;Konetto Pizza;150;3.5;Good;32.0;2016-06-11T19:33:21Z;[28.4783985, 77.0462096];Gurgaon/India/Asia
1745;South Store;200;3.5;Good;64.0;2017-09-01T13:29:02Z;[28.474317600000003, 77.0475378];Gurgaon/India/Asia
1746;Grill & Cafe;600;0.0;Not rated;3.0;2016-01-06T16:22:40Z;[28.4662742, 77.0404798];Gurgaon/India/Asia
1747;Gurgaon Mughlai Chicken;350;0.0;Not rated;2.0;2017-01-10T22:23:37Z;[28.477162100000005, 77.0351435];Gurgaon/India/Asia
1748;Mughal Chicken Corner;500;0.0;Not rated;3.0;2016-06-15T10:39:35Z;[28.4786503, 77.0349588];Gurgaon/India/Asia
1749;Oven Aroma;400;0.0;Not rated;3.0;2017-10-10T04:49:29Z;[28.4823461, 77.04953640000001];Gurgaon/India/Asia
1750;Radha Swami Shudh Vaishno Dhaba;350;0.0;Not rated;3.0;2016-03-05T05:22:58Z;[28.4756545, 77.03848020000001];Gurgaon/India/Asia
1751;Special No.1 Biryani Corner;700;0.0;Not rated;2.0;2018-06-01T08:29:00Z;[28.4762474, 77.0444379];Gurgaon/India/Asia
1752;Sun Sweets Restaurant;400;0.0;Not rated;3.0;2018-11-14T04:55:31Z;[28.464266, 77.0335214];Gurgaon/India/Asia
1753;Captain Bill$ Deliverz;1000;2.4;Poor;23.0;2018-06-12T07:16:23Z;[28.4738648, 77.0476588];Gurgaon/India/Asia
1754;China Hut;300;2.4;Poor;18.0;2017-05-31T08:17:41Z;[28.475857300000005, 77.03762890000002];Gurgaon/India/Asia
1755;G Dot;400;2.4;Poor;26.0;2016-01-11T08:30:22Z;[28.4785399, 77.0338227];Gurgaon/India/Asia
1756;Cake2you;400;3.0;Average;4.0;2017-07-02T13:07:37Z;[28.4579792, 77.0371148];Gurgaon/India/Asia
1757;Delight Express;400;2.9;Average;6.0;2017-05-13T22:29:19Z;[28.4583117, 77.0435543];Gurgaon/India/Asia
1758;Empress;1000;2.9;Average;5.0;2017-03-05T02:10:05Z;[28.4568511, 77.033231];Gurgaon/India/Asia
1759;Hotel DDR;500;2.8;Average;10.0;2018-11-13T23:58:33Z;[28.4588673, 77.0344852];Gurgaon/India/Asia
1760;Khan Kabab Corner;500;3.0;Average;4.0;2018-07-03T03:59:03Z;[28.4555436, 77.0380952];Gurgaon/India/Asia
1761;Kwality Cakes and Bakes;350;3.2;Average;12.0;2016-10-09T04:42:00Z;[28.4555152, 77.0381307];Gurgaon/India/Asia
1762;Nite Bites;650;2.9;Average;4.0;2016-09-17T23:12:42Z;[28.460253, 77.041878];Gurgaon/India/Asia
1763;Oriental Kitchen Express;450;3.3;Average;14.0;2016-06-19T08:05:45Z;[28.4577727, 77.03674740000001];Gurgaon/India/Asia
1764;Royal Mart;300;2.9;Average;4.0;2018-02-26T03:14:51Z;[28.4544096, 77.03909540000001];Gurgaon/India/Asia
1765;Sikkim Fast Food;350;2.7;Average;36.0;2017-08-25T09:43:58Z;[28.4584547, 77.0435095];Gurgaon/India/Asia
1766;ZASTY;500;3.5;Good;28.0;2018-06-20T11:13:47Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1767;Maachh Bhaat;600;3.4;Average;256.0;2016-11-28T14:49:07Z;[28.4950876, 77.0609808];Gurgaon/India/Asia
1768;ANTIDOTE;400;0.0;Not rated;0.0;2017-12-14T10:03:05Z;[28.42826235, 77.00270014657752];Gurgaon/India/Asia
1769;Bablu Fast Food;300;0.0;Not rated;0.0;2018-03-07T19:35:05Z;[28.4978576, 77.06331490000001];Gurgaon/India/Asia
